"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso"
"111",2081,"G3","guichenoti","Male","B_23","CL562_22",52,"3/4/2023","13/4/2023",10,"B_R",3,"R",0,"",0,3,"C",0,1,"",NA
"112",1410,"A1","delicata","Female","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"R_B",4,"L",1,"",1,4,"C",0,1,"",NA
"113",2073,"A1","delicata","Male","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"B_R",4,"C",NA,"More than one cricket eaten",1,4,"R",0,1,"",NA
"114",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"B_R",4,"L",0,"",0,4,"L",0,1,"",NA
"115",1562,"A4","guichenoti","Female","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"B_R",4,"R",1,"",1,4,"R",0,1,"",NA
"116",1609,"A4","guichenoti","Female","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"B_R",4,"C",NA,"",0,4,"C",0,1,"",NA
"117",1438,"B1","guichenoti","Male","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"B_R",4,"R",NA,"",0,4,"L",0,1,"",NA
"118",1240,"B2","delicata","Female","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"B_R",4,"C",NA,"",0,4,"R",0,1,"",NA
"119",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"R_B",4,"C",1,"",1,4,"C",1,1,"",NA
"120",1296,"B4","delicata","Female","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"B_R",4,"L",NA,"",0,4,"L",0,1,"",NA
"121",1399,"B4","delicata","Male","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"R_B",4,"R",0,"",0,4,"R",0,1,"",NA
