"","lizard_id","position","species","sex","trt","clutch","egg_enclosure","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"59",1417,"F4","guichenoti","Female","B_28","CL381_22","E030_F120",97,"20/3/2023","13/4/2023",24,"R_B",1,"L",NA,"",0,1,"L",1,1,"",NA,"Hot","CORT"
"60",1459,"D3","guichenoti","Male","B_23","CL394_22","E030_F120",92,"8/4/2023","13/4/2023",5,"B_R",1,"R",NA,"",0,1,"L",0,0,"",NA,"Cold","CORT"
"61",1674,"G1","guichenoti","Female","B_23","CL455_22","E030_F120",94,"6/4/2023","13/4/2023",7,"R_B",1,"L",0,"",0,1,"R",1,1,"",1,"Cold","CORT"
"62",2242,"G4","delicata","Male","B_28","CL604_22","E030_M",66,"1/4/2023","13/4/2023",12,"B_R",1,"L",NA,"",0,1,"C",0,1,"",NA,"Hot","CORT"
"63",1534,"F2","guichenoti","Female","A_23","CL415_22","E031_F120",85,"20/3/2023","13/4/2023",24,"R_B",1,"R",0,"",0,1,"C",0,1,"",0,"Cold","Control"
"64",1467,"F4","guichenoti","Female","A_28","CL397_22","E032_F120",111,"20/3/2023","13/4/2023",24,"R_B",1,"R",0,"",1,1,"L",0,1,"",1,"Hot","Control"
"65",1296,"B4","delicata","Female","B_23","CL348_22","E036_F120",108,"5/4/2023","13/4/2023",8,"B_R",1,"L",1,"",1,1,"R",1,1,"",1,"Cold","CORT"
"66",1322,"C2","delicata","Male","B_23","CL356_22","E036_F120",108,"26/3/2023","13/4/2023",18,"R_B",1,"C",0,"",1,1,"C",1,1,"",0,"Cold","CORT"
"67",1487,"F1","delicata","Male","A_23","CL402_22","E038_F120",85,"20/3/2023","13/4/2023",24,"B_R",1,"R",NA,"",0,1,"L",1,1,"",NA,"Cold","Control"
"68",1198,"B2","delicata","Male","A_23","CL318_22","E039_F120",120,"29/3/2023","13/4/2023",15,"R_B",1,"R",1,"",1,1,"R",0,1,"",0,"Cold","Control"
"69",1222,"C4","delicata","Female","A_28","CL325_22","E040_F120",134,"2/4/2023","13/4/2023",11,"R_B",1,"L",NA,"",0,1,"R",1,1,"",NA,"Hot","Control"
"70",1223,"G4","delicata","Female","A_23","CL325_22","E040_F120",115,"28/3/2023","13/4/2023",16,"B_R",1,"R",NA,"",0,1,"L",0,1,"",NA,"Cold","Control"
"71",1166,"D4","delicata","Female","A_28","CL312_22","E048_F120",143,"4/4/2023","13/4/2023",9,"R_B",1,"R",0,"",1,1,"R",0,1,"",1,"Hot","Control"
"72",1424,"F3","delicata","Female","A_23","CL383_22","E048_F120",97,"31/3/2023","13/4/2023",13,"B_R",1,"C",0,"",1,1,"R",0,1,"",0,"Cold","Control"
"73",1239,"E4","delicata","Female","A_23","CL329_22","E051_F120",113,"30/3/2023","13/4/2023",14,"B_R",1,"C",NA,"",0,1,"R",0,1,"",NA,"Cold","Control"
"74",1390,"C4","delicata","Male","A_23","CL374_22","E051_F120",101,"30/3/2023","13/4/2023",14,"R_B",1,"L",0,"",0,1,"C",1,1,"",1,"Cold","Control"
"75",1478,"A2","guichenoti","Male","B_23","CL400_22","E054_F120",85,"23/3/2023","13/4/2023",21,"B_R",1,"C",NA,"",0,1,"R",0,1,"",NA,"Cold","CORT"
"76",1479,"D1","guichenoti","Female","A_28","CL400_22","E054_F120",108,"28/3/2023","13/4/2023",16,"R_B",1,"L",0,"",1,1,"L",0,1,"",1,"Hot","Control"
