"","Value","Treatment"
"CORT-Cold399",0.036684461188251,"CORT-Cold"
"CORT-Cold400",0.0296500048687819,"CORT-Cold"
"CORT-Cold401",0.0201662882226642,"CORT-Cold"
"CORT-Cold402",0.0262322014330647,"CORT-Cold"
"CORT-Cold403",0.0416260112925966,"CORT-Cold"
"CORT-Cold404",0.0271573399054078,"CORT-Cold"
"CORT-Cold405",0.0394654931928941,"CORT-Cold"
"CORT-Cold406",0.0364504413120516,"CORT-Cold"
"CORT-Cold407",0.0474528851609536,"CORT-Cold"
"CORT-Cold408",0.0469269992823213,"CORT-Cold"
"CORT-Cold409",0.0331948615585069,"CORT-Cold"
"CORT-Cold410",0.0376247578208679,"CORT-Cold"
"CORT-Cold411",0.0480736502290311,"CORT-Cold"
"CORT-Cold412",0.0413306598791733,"CORT-Cold"
"CORT-Cold413",0.0421691011573249,"CORT-Cold"
"CORT-Cold414",0.0250434578302004,"CORT-Cold"
"CORT-Cold415",0.0469926302909525,"CORT-Cold"
"CORT-Cold416",0.038011068201367,"CORT-Cold"
"CORT-Cold417",0.0265867603680947,"CORT-Cold"
"CORT-Cold418",0.0355810680677457,"CORT-Cold"
"CORT-Cold419",0.0432640223737501,"CORT-Cold"
"CORT-Cold420",0.0550368761173127,"CORT-Cold"
"CORT-Cold421",0.0430879024135791,"CORT-Cold"
"CORT-Cold422",0.045707065500671,"CORT-Cold"
"CORT-Cold423",0.0365218976937876,"CORT-Cold"
"CORT-Cold424",0.0320245057080481,"CORT-Cold"
"CORT-Cold425",0.0376925030523923,"CORT-Cold"
"CORT-Cold426",0.0329564840703864,"CORT-Cold"
"CORT-Cold427",0.0413686510416191,"CORT-Cold"
"CORT-Cold428",0.0371887348177437,"CORT-Cold"
"CORT-Cold429",0.0356129168515382,"CORT-Cold"
"CORT-Cold430",0.0253350880060235,"CORT-Cold"
"CORT-Cold431",0.0512328047250637,"CORT-Cold"
"CORT-Cold432",0.0477468619842854,"CORT-Cold"
"CORT-Cold433",0.0490682423761472,"CORT-Cold"
"CORT-Cold434",0.0505823947448414,"CORT-Cold"
"CORT-Cold435",0.0435435365607848,"CORT-Cold"
"CORT-Cold436",0.0547232880658706,"CORT-Cold"
"CORT-Cold437",0.0317214952868189,"CORT-Cold"
"CORT-Cold438",0.0335034542035826,"CORT-Cold"
"CORT-Cold439",0.041615879679337,"CORT-Cold"
"CORT-Cold440",0.0449897225832951,"CORT-Cold"
"CORT-Cold441",0.0340455041222431,"CORT-Cold"
"CORT-Cold442",0.0564437646095125,"CORT-Cold"
"CORT-Cold443",0.0379823236663318,"CORT-Cold"
"CORT-Cold444",0.038283481925101,"CORT-Cold"
"CORT-Cold445",0.0353453911687248,"CORT-Cold"
"CORT-Cold446",0.0396011448750255,"CORT-Cold"
"CORT-Cold447",0.0405770619837243,"CORT-Cold"
"CORT-Cold448",0.0319810836920337,"CORT-Cold"
"CORT-Cold449",0.0473566333473688,"CORT-Cold"
"CORT-Cold450",0.028564610726349,"CORT-Cold"
"CORT-Cold451",0.047563453729642,"CORT-Cold"
"CORT-Cold452",0.0369378040792588,"CORT-Cold"
"CORT-Cold453",0.0487850200004266,"CORT-Cold"
"CORT-Cold454",0.0456949773364127,"CORT-Cold"
"CORT-Cold455",0.0343406280504666,"CORT-Cold"
"CORT-Cold456",0.0338472924685304,"CORT-Cold"
"CORT-Cold457",0.0389989643631827,"CORT-Cold"
"CORT-Cold458",0.0369884369412153,"CORT-Cold"
"CORT-Cold459",0.0407117683321165,"CORT-Cold"
"CORT-Cold460",0.0451414716342428,"CORT-Cold"
"CORT-Cold461",0.0466007498342168,"CORT-Cold"
"CORT-Cold462",0.0294264431323984,"CORT-Cold"
"CORT-Cold463",0.0363957506217789,"CORT-Cold"
