"","Trial","Treatment","Mean_Predicted_prob","SE_Predicted_prob"
"132",33,"Control-Hot",0.608651304743895,0.0421261961464962
"133",34,"CORT-Cold",0.658555022187702,0.0418613131826943
"134",34,"CORT-Hot",0.645180720898551,0.041533626346334
"135",34,"Control-Cold",0.749710520301428,0.0364146537078529
"136",34,"Control-Hot",0.619116319324727,0.0430782394325158
"137",35,"CORT-Cold",0.667396113267555,0.0426531260275513
"138",35,"CORT-Hot",0.657888016870577,0.0421900344308027
"139",35,"Control-Cold",0.761026692409526,0.0364610165810369
"140",35,"Control-Hot",0.629457388983641,0.0440279610229339
"141",36,"CORT-Cold",0.676106847287799,0.0434369519694074
"142",36,"CORT-Hot",0.67035579046668,0.0428082630001869
"143",36,"Control-Cold",0.771971537067361,0.0364598814903759
"144",36,"Control-Hot",0.639665881697202,0.0449661491053494
"145",37,"CORT-Cold",0.684682760539799,0.0442061306878185
"146",37,"CORT-Hot",0.682570934673098,0.0433805035054298
"147",37,"Control-Cold",0.782543142240721,0.0364088119614443
"148",37,"Control-Hot",0.649733735346774,0.0458845023885516
"149",38,"CORT-Cold",0.693119808083774,0.0449547823294341
"150",38,"CORT-Hot",0.694521795544896,0.043900163449873
"151",38,"Control-Cold",0.792741206104584,0.0363064084878003
"152",38,"Control-Hot",0.659653474715596,0.0467756341164013
"153",39,"CORT-Cold",0.701414361526604,0.0456777759720909
"154",39,"CORT-Hot",0.706198175813821,0.0443618414161965
"155",39,"Control-Cold",0.802566916492375,0.0361521960087301
"156",39,"Control-Hot",0.669418223399212,0.0476330559085249
"157",40,"CORT-Cold",0.709563204455489,0.0463706897682253
"158",40,"CORT-Hot",0.717591323468636,0.044761278895022
"159",40,"Control-Cold",0.812022826005209,0.0359465082714055
"160",40,"Control-Hot",0.679021710804197,0.0484511472415816
