"","Trial","Treatment","Species","Mean_Predicted_prob","SE_Predicted_prob"
"59",8,"CORT-Hot","L. delicata",0.296145940521058,0.0384661840958612
"60",8,"CORT-Hot","L. guichenoti",0.32761559441981,0.0531751205819219
"61",8,"Control-Cold","L. delicata",0.375123123531994,0.041268451516637
"62",8,"Control-Cold","L. guichenoti",0.356056070074753,0.0645871609449839
"63",8,"Control-Hot","L. delicata",0.338978214535321,0.0410983213014942
"64",8,"Control-Hot","L. guichenoti",0.412770224328559,0.0566026790353308
"65",9,"CORT-Cold","L. delicata",0.415415093375458,0.0423910167351979
"66",9,"CORT-Cold","L. guichenoti",0.353516677351421,0.0526070120531286
"67",9,"CORT-Hot","L. delicata",0.307934514471164,0.0380753235077382
"68",9,"CORT-Hot","L. guichenoti",0.341825169318873,0.0528720677462516
"69",9,"Control-Cold","L. delicata",0.389687150242855,0.0406160904106886
"70",9,"Control-Cold","L. guichenoti",0.369816467952402,0.0640281596153519
"71",9,"Control-Hot","L. delicata",0.348922628241604,0.0403360304066251
"72",9,"Control-Hot","L. guichenoti",0.427722646592666,0.0557898316097965
"73",10,"CORT-Cold","L. delicata",0.425119692754434,0.0413999902539031
"74",10,"CORT-Cold","L. guichenoti",0.364373785098545,0.0520870962833618
"75",10,"CORT-Hot","L. delicata",0.319994973570397,0.0376599943137429
"76",10,"CORT-Hot","L. guichenoti",0.356350889403047,0.0525545437333274
"77",10,"Control-Cold","L. delicata",0.404466150831069,0.0399431908002358
"78",10,"Control-Cold","L. guichenoti",0.383825423434922,0.0634850884022298
"79",10,"Control-Hot","L. delicata",0.359014670624265,0.0395762874637429
"80",10,"Control-Hot","L. guichenoti",0.44283032956731,0.0549904730483594
"81",11,"CORT-Cold","L. delicata",0.43489310083158,0.0404434856744854
"82",11,"CORT-Cold","L. guichenoti",0.375389705031293,0.051604728885336
"83",11,"CORT-Hot","L. delicata",0.332316341643854,0.0372292574910234
"84",11,"CORT-Hot","L. guichenoti",0.371170404298963,0.0522358740811366
"85",11,"Control-Cold","L. delicata",0.419434774642659,0.039262314778453
"86",11,"Control-Cold","L. guichenoti",0.398060486222195,0.0629751865609593
"87",11,"Control-Hot","L. delicata",0.369246651804005,0.0388292122604539
"88",11,"Control-Hot","L. guichenoti",0.458063792053126,0.0542202901036793
"89",12,"CORT-Cold","L. delicata",0.444727141768108,0.03953227218059
"90",12,"CORT-Cold","L. guichenoti",0.386553558446637,0.0511721899214042
"91",12,"CORT-Hot","L. delicata",0.344886170839396,0.0367933287702487
"92",12,"CORT-Hot","L. guichenoti",0.386258885734958,0.0519300362591063
"93",12,"Control-Cold","L. delicata",0.434566117435826,0.0385867242964842
"94",12,"Control-Cold","L. guichenoti",0.4124972490751,0.0625156529803468
"95",12,"Control-Hot","L. delicata",0.379610295647839,0.0381057691884976
"96",12,"Control-Hot","L. guichenoti",0.473392354206766,0.0534944110982855
"97",13,"CORT-Cold","L. delicata",0.454613387128394,0.0386773657601625
"98",13,"CORT-Cold","L. guichenoti",0.397853677744226,0.0508016917366223
"99",13,"CORT-Hot","L. delicata",0.357690555347646,0.036363453053723
"100",13,"CORT-Hot","L. guichenoti",0.40158915180101,0.0516511776715231
"101",13,"Control-Cold","L. delicata",0.449831906486646,0.0379300207980027
"102",13,"Control-Cold","L. guichenoti",0.42710950402965,0.062122936762644
"103",13,"Control-Hot","L. delicata",0.390096759409696,0.0374176333792356
"104",13,"Control-Hot","L. guichenoti",0.488784401907236,0.052826797074791
"105",14,"CORT-Cold","L. delicata",0.464543187109109,0.0378897915492064
"106",14,"CORT-Cold","L. guichenoti",0.40927764993278,0.0505049985476681
"107",14,"CORT-Hot","L. delicata",0.370714162249973,0.0359517032845652
"108",14,"CORT-Hot","L. guichenoti",0.417131835358659,0.0514130464748575
"109",14,"Control-Cold","L. delicata",0.465202710784652,0.0373057050904154
"110",14,"Control-Cold","L. guichenoti",0.441869435699002,0.0618119680288227
"111",14,"Control-Hot","L. delicata",0.400696658656706,0.0367769910655679
"112",14,"Control-Hot","L. guichenoti",0.504207671935365,0.0522296228244741
"113",15,"CORT-Cold","L. delicata",0.474507703950636,0.037180290185299
"114",15,"CORT-Cold","L. guichenoti",0.420812369452366,0.0502930076834769
"115",15,"CORT-Hot","L. delicata",0.383940280202299,0.0355706940605078
"116",15,"CORT-Hot","L. guichenoti",0.432855595646843,0.0512283624151216
"117",15,"Control-Cold","L. delicata",0.480648173187401,0.0367266694512969
"118",15,"Control-Cold","L. guichenoti",0.456747849143481,0.0615953836426802
"119",15,"Control-Hot","L. delicata",0.411400097461886,0.036196265820847
"120",15,"Control-Hot","L. guichenoti",0.519629552197781,0.0517126949655263
"121",16,"CORT-Cold","L. delicata",0.484497947243286,0.0365589738627176
"122",16,"CORT-Cold","L. guichenoti",0.432444099994484,0.0501753155100265
"123",16,"CORT-Hot","L. delicata",0.39735088631423,0.0352332058486158
"124",16,"CORT-Hot","L. guichenoti",0.448727370667308,0.0511081685905762
"125",16,"Control-Cold","L. delicata",0.496137260671148,0.0362046457791153
"126",16,"Control-Cold","L. guichenoti",0.471714428418104,0.0614828150668384
"127",16,"Control-Hot","L. delicata",0.422196703756585,0.0356877677553503
"128",16,"Control-Hot","L. guichenoti",0.535017390595249,0.0512829595289212
"129",17,"CORT-Cold","L. delicata",0.49450481080541,0.0360349463538939
"130",17,"CORT-Cold","L. guichenoti",0.444158544792234,0.0501597979033563
"131",17,"CORT-Hot","L. delicata",0.410926731192458,0.034951724733445
"132",17,"CORT-Hot","L. guichenoti",0.46471266645533,0.0510612162319748
"133",17,"Control-Cold","L. delicata",0.511638528187363,0.035749646272909
"134",17,"Control-Cold","L. guichenoti",0.486738020619512,0.0614803097935018
"135",17,"Control-Hot","L. delicata",0.433075669645326,0.0352632715539486
"136",17,"Control-Hot","L. guichenoti",0.550338805749358,0.0509441495965892
"137",18,"CORT-Cold","L. delicata",0.504519110780375,0.0356159108236305
"138",18,"CORT-Cold","L. guichenoti",0.455940924644769,0.0502522391084727
"139",18,"CORT-Hot","L. delicata",0.424647441695712,0.0347379150485162
"140",18,"CORT-Hot","L. guichenoti",0.48077587792924,0.0510934400808363
"141",18,"Control-Cold","L. delicata",0.527120391146133,0.0353694439895752
"142",18,"Control-Cold","L. guichenoti",0.501786939138371,0.0615899506373048
"143",18,"Control-Hot","L. delicata",0.444025796393708,0.0349335411085301
"144",18,"Control-Hot","L. guichenoti",0.565561992688886,0.0506966130887182
"145",19,"CORT-Cold","L. delicata",0.51453162457543,0.0353077978575636
"146",19,"CORT-Cold","L. guichenoti",0.467776062741618,0.0504560424034314
"147",19,"CORT-Hot","L. delicata",0.438491640509793,0.0346020566399015
"148",19,"CORT-Hot","L. guichenoti",0.496880634750278,0.0512075790819934
"149",19,"Control-Cold","L. delicata",0.542551401225216,0.035069146250932
"150",19,"Control-Cold","L. guichenoti",0.516829278962793,0.0618097180478394
"151",19,"Control-Hot","L. delicata",0.455035543709635,0.0347078319072589
"152",19,"Control-Hot","L. guichenoti",0.580656016767671,0.0505373425288211
"153",20,"CORT-Cold","L. delicata",0.524533130248475,0.0351144511976083
"154",20,"CORT-Cold","L. guichenoti",0.479648475171602,0.0507720504013725
"155",20,"CORT-Hot","L. delicata",0.452437081211457,0.0345524921242747
"156",20,"CORT-Hot","L. guichenoti",0.512990164592806,0.0514029848605235
"157",20,"Control-Cold","L. delicata",0.55790052006677,0.0348509110950625
"158",20,"Control-Cold","L. guichenoti",0.531833236342248,0.0621336122311793
"159",20,"Control-Hot","L. delicata",0.46609308285187,0.0345934143989918
"160",20,"Control-Hot","L. guichenoti",0.59559108953061,0.0504602055050409
"161",21,"CORT-Cold","L. delicata",0.53451444593936,0.0350374078152055
"162",21,"CORT-Cold","L. guichenoti",0.491542465845692,0.0511984924833928
"163",21,"CORT-Hot","L. delicata",0.466460797066819,0.0345951385056
"164",21,"CORT-Hot","L. guichenoti",0.529067665492667,0.0516756401743343
"165",21,"Control-Cold","L. delicata",0.573137385481267,0.0347138442926246
"166",21,"Control-Cold","L. guichenoti",0.546767424954546,0.0625520198905271
"167",21,"Control-Hot","L. delicata",0.477186353020673,0.0345951684805091
"168",21,"Control-Hot","L. guichenoti",0.610338820936415,0.0504563511630379
"169",22,"CORT-Cold","L. delicata",0.544466468940687,0.0350758009239667
"170",22,"CORT-Cold","L. guichenoti",0.503442224440419,0.051731063436396
"171",22,"CORT-Hot","L. delicata",0.480539261421296,0.0347331181094536
"172",22,"CORT-Hot","L. guichenoti",0.545076678558691,0.05201838489508
"173",22,"Control-Cold","L. delicata",0.588232565027446,0.0346540931825541
"174",22,"Control-Cold","L. guichenoti",0.561601180933877,0.0630522816336171
"175",22,"Control-Hot","L. delicata",0.488303120415641,0.0347152976100059
"176",22,"Control-Hot","L. guichenoti",0.624872443242144,0.0505147491828615
"177",23,"CORT-Cold","L. delicata",0.554380214009494,0.0352264001161267
"178",23,"CORT-Cold","L. guichenoti",0.515331925883994,0.0523631234082019
"179",23,"CORT-Hot","L. delicata",0.494648557201468,0.0349665538108489
"180",23,"CORT-Hot","L. guichenoti",0.560981452325703,0.0524213230730872
"181",23,"Control-Cold","L. delicata",0.603157792264963,0.0346651279443864
"182",23,"Control-Cold","L. guichenoti",0.57630484969496,0.063619396329275
"183",23,"Control-Hot","L. delicata",0.49943103928826,0.0349531993116231
"184",23,"Control-Hot","L. guichenoti",0.639167002900499,0.0506228067753171
"185",24,"CORT-Cold","L. delicata",0.564246850535211,0.0354837849053015
"186",24,"CORT-Cold","L. guichenoti",0.527195829865214,0.0530859974413363
"187",24,"CORT-Hot","L. delicata",0.508764552779976,0.035292553793217
"188",24,"CORT-Hot","L. guichenoti",0.576747290397137,0.0528723660462877
"189",24,"Control-Cold","L. delicata",0.61788618155938,0.0347381768321788
"190",24,"Control-Cold","L. guichenoti",0.590850048375444,0.0642367908972489
"191",24,"Control-Hot","L. delicata",0.510557714273203,0.0353055085828663
"192",24,"Control-Hot","L. guichenoti",0.65319951795481,0.0507670074794684
"193",25,"CORT-Cold","L. delicata",0.574057738200708,0.0358406307479009
"194",25,"CORT-Cold","L. guichenoti",0.539018378847522,0.0538893450982039
"195",25,"CORT-Hot","L. delicata",0.522863081265486,0.0357053856652219
"196",25,"CORT-Hot","L. guichenoti",0.592340874745272,0.0533578564273044
"197",25,"Control-Cold","L. delicata",0.632392418025873,0.0348627648506064
"198",25,"Control-Cold","L. guichenoti",0.605209898841005,0.0648870878055089
"199",25,"Control-Hot","L. delicata",0.521670763254548,0.0357663065462088
"200",25,"Control-Hot","L. guichenoti",0.666949099575264,0.0509335218335061
"201",26,"CORT-Cold","L. delicata",0.583804460801198,0.0362880740580353
"202",26,"CORT-Cold","L. guichenoti",0.550784293117137,0.0547615678750196
"203",26,"CORT-Hot","L. delicata",0.53692012017992,0.0361968147764918
"204",26,"CORT-Hot","L. guichenoti",0.607730558057244,0.0538632168141766
"205",26,"Control-Cold","L. delicata",0.646652919991674,0.0350272985042768
"206",26,"Control-Cold","L. guichenoti",0.619359227467445,0.0655528149347691
"207",26,"Control-Hot","L. delicata",0.532757880011944,0.0363274646507597
"208",26,"Control-Hot","L. guichenoti",0.680397037503532,0.0511087516395965
"209",27,"CORT-Cold","L. delicata",0.59347885791954,0.0368161171805164
"210",27,"CORT-Cold","L. guichenoti",0.562478661482657,0.0556902238438381
"211",27,"CORT-Hot","L. delicata",0.550911968479136,0.0367565628703502
"212",27,"CORT-Hot","L. guichenoti",0.622886619766897,0.0543735737106871
"213",27,"Control-Cold","L. delicata",0.660645972198191,0.0352196425683636
"214",27,"Control-Cold","L. guichenoti",0.633274729242299,0.0662170192854501
"215",27,"Control-Hot","L. delicata",0.543806895897705,0.0369790800186444
"216",27,"Control-Hot","L. guichenoti",0.693526850209554,0.0512797833765273
"217",28,"CORT-Cold","L. delicata",0.603073054194955,0.0374140358761614
"218",28,"CORT-Cold","L. guichenoti",0.574087026369696,0.0566624240203101
"219",28,"CORT-Hot","L. delicata",0.564815417961129,0.0373728343022964
"220",28,"CORT-Hot","L. guichenoti",0.637781481815889,0.0548743186179559
"221",28,"Control-Cold","L. delicata",0.67435182881237,0.0354276456638464
"222",28,"Control-Cold","L. guichenoti",0.646935095032927,0.0668637633222309
"223",28,"Control-Hot","L. delicata",0.554805839818553,0.0377099526237397
"224",28,"Control-Hot","L. guichenoti",0.706324301472771,0.051434739601903
"225",29,"CORT-Cold","L. delicata",0.612579485964273,0.0380707588613945
"226",29,"CORT-Cold","L. guichenoti",0.585595462211983,0.0576651917439262
"227",29,"CORT-Hot","L. delicata",0.578607916282958,0.0380328581982336
"228",29,"CORT-Hot","L. guichenoti",0.652389881657817,0.0553515815433519
"229",29,"Control-Cold","L. delicata",0.687752786136466,0.0356395859193361
"230",29,"Control-Cold","L. guichenoti",0.660321102081084,0.0674784977769773
"231",29,"Control-Hot","L. delicata",0.565742995834499,0.0385080591864437
"232",29,"Control-Hot","L. guichenoti",0.718777385852072,0.0515630281441331
"233",30,"CORT-Cold","L. delicata",0.621990925099297,0.0387751986810183
"234",30,"CORT-Cold","L. guichenoti",0.596990646222699,0.0586857734182251
"235",30,"CORT-Hot","L. delicata",0.59226771906505,0.0387234036904943
"236",30,"CORT-Hot","L. guichenoti",0.66668900147472,0.0557926048021835
"237",30,"Control-Cold","L. delicata",0.700833225663973,0.0358445225552125
"238",30,"Control-Cold","L. guichenoti",0.673415668854683,0.0680483160401062
"239",30,"Control-Hot","L. delicata",0.576606957740608,0.0393609889880138
"240",30,"Control-Hot","L. guichenoti",0.73087628608846,0.0516554967407446
"241",31,"CORT-Cold","L. delicata",0.631300499909603,0.0395165231424094
"242",31,"CORT-Cold","L. guichenoti",0.608259920828651,0.0597118952418371
"243",31,"CORT-Hot","L. delicata",0.60577402888673,0.0394312380612185
"244",31,"CORT-Hot","L. guichenoti",0.680658553943943,0.0561860154234997
"245",31,"Control-Cold","L. delicata",0.713579628801449,0.036032551372825
"246",31,"Control-Cold","L. guichenoti",0.686203876283314,0.068562102603934
"247",31,"Control-Hot","L. delicata",0.587386680063236,0.0402563195380259
"248",31,"Control-Hot","L. guichenoti",0.742613305888601,0.051704505552909
"249",32,"CORT-Cold","L. delicata",0.64050171302582,0.0402843649311393
"250",32,"CORT-Cold","L. guichenoti",0.61939134725699,0.0607319655057944
"251",32,"CORT-Hot","L. delicata",0.619107119354511,0.040143510757743
"252",32,"CORT-Hot","L. guichenoti",0.694280826116047,0.0565220020828409
"253",32,"Control-Cold","L. delicata",0.725980565142979,0.0361949707691538
"254",32,"Control-Cold","L. guichenoti",0.698672958108706,0.0690105918666948
"255",32,"Control-Hot","L. delicata",0.598071524978424,0.0411819220517813
"256",32,"Control-Hot","L. guichenoti",0.753982781772532,0.0517039321683433
"257",33,"CORT-Cold","L. delicata",0.649588456223168,0.0410689730358902
"258",33,"CORT-Cold","L. guichenoti",0.630373749971556,0.0617352254927203
"259",33,"CORT-Hot","L. delicata",0.632248442837899,0.040848057436161
"260",33,"CORT-Hot","L. guichenoti",0.707540683999017,0.0567924073158246
"261",33,"Control-Cold","L. delicata",0.738026656635117,0.0363243700106003
"262",33,"Control-Cold","L. guichenoti",0.710812263592614,0.069386354788041
"263",33,"Control-Hot","L. delicata",0.608651304743895,0.0421261961464962
"264",33,"Control-Hot","L. guichenoti",0.764980977750168,0.0516491239729668
"265",34,"CORT-Cold","L. delicata",0.658555022187702,0.0418613131826943
"266",34,"CORT-Cold","L. guichenoti",0.641196751856218,0.0627118541217031
"267",34,"CORT-Hot","L. delicata",0.645180720898551,0.041533626346334
"268",34,"CORT-Hot","L. guichenoti",0.720425541265037,0.0569907482482739
"269",34,"Control-Cold","L. delicata",0.749710520301428,0.0364146537078529
"270",34,"Control-Cold","L. guichenoti",0.722613196151549,0.0696837302726434
"271",34,"Control-Hot","L. delicata",0.619116319324727,0.0430782394325158
"272",34,"Control-Hot","L. guichenoti",0.775605966539064,0.0515368117917408
"273",35,"CORT-Cold","L. delicata",0.667396113267555,0.0426531260275513
"274",35,"CORT-Cold","L. guichenoti",0.651850800229572,0.0636530325099774
"275",35,"CORT-Hot","L. delicata",0.657888016870577,0.0421900344308027
"276",35,"CORT-Hot","L. guichenoti",0.732925296094487,0.0571121797887317
"277",35,"Control-Cold","L. delicata",0.761026692409526,0.0364610165810369
"278",35,"Control-Cold","L. guichenoti",0.73406913164713,0.0698987164908041
"279",35,"Control-Hot","L. delicata",0.629457388983641,0.0440279610229339
"280",35,"Control-Hot","L. guichenoti",0.785857500874176,0.0513649970232252
"281",36,"CORT-Cold","L. delicata",0.676106847287799,0.0434369519694074
"282",36,"CORT-Cold","L. guichenoti",0.662327183943853,0.0645509748733716
"283",36,"CORT-Hot","L. delicata",0.67035579046668,0.0428082630001869
"284",36,"CORT-Hot","L. guichenoti",0.745032240552553,0.0571534137336985
"285",36,"Control-Cold","L. delicata",0.771971537067361,0.0364598814903759
"286",36,"Control-Cold","L. guichenoti",0.745175320074894,0.0700288351816483
"287",36,"Control-Hot","L. delicata",0.639665881697202,0.0449661491053494
"288",36,"Control-Hot","L. guichenoti",0.79573687821395,0.051132822527025
"289",37,"CORT-Cold","L. delicata",0.684682760539799,0.0442061306878185
"290",37,"CORT-Cold","L. guichenoti",0.672618041967364,0.0653989319361766
"291",37,"CORT-Hot","L. delicata",0.682570934673098,0.0433805035054298
"292",37,"CORT-Hot","L. guichenoti",0.756740947073075,0.0571126060094619
"293",37,"Control-Cold","L. delicata",0.782543142240721,0.0364088119614443
"294",37,"Control-Cold","L. guichenoti",0.755928774287968,0.0700729797014493
"295",37,"Control-Hot","L. delicata",0.649733735346774,0.0458845023885516
"296",37,"Control-Hot","L. guichenoti",0.805246801840133,0.0508404355382067
"297",38,"CORT-Cold","L. delicata",0.693119808083774,0.0449547823294341
"298",38,"CORT-Cold","L. guichenoti",0.682716363971623,0.0661911724841711
"299",38,"CORT-Hot","L. delicata",0.694521795544896,0.043900163449873
"300",38,"CORT-Hot","L. guichenoti",0.768048136626116,0.0569892226756048
"301",38,"Control-Cold","L. delicata",0.792741206104584,0.0363064084878003
"302",38,"Control-Cold","L. guichenoti",0.76632814919073,0.0700312554040367
"303",38,"Control-Hot","L. delicata",0.659653474715596,0.0467756341164013
"304",38,"Control-Hot","L. guichenoti",0.814391241003712,0.050488849038085
"305",39,"CORT-Cold","L. delicata",0.701414361526604,0.0456777759720909
"306",39,"CORT-Cold","L. guichenoti",0.692615983540943,0.0669229480264447
"307",39,"CORT-Hot","L. delicata",0.706198175813821,0.0443618414161965
"308",39,"CORT-Hot","L. guichenoti",0.778952532999264,0.0567838935935017
"309",39,"Control-Cold","L. delicata",0.802566916492375,0.0361521960087301
"310",39,"Control-Cold","L. guichenoti",0.776373614566382,0.0699048189909404
"311",39,"Control-Hot","L. delicata",0.669418223399212,0.0476330559085249
"312",39,"Control-Hot","L. guichenoti",0.823175292405821,0.0500798063875845
"313",40,"CORT-Cold","L. delicata",0.709563204455489,0.0463706897682253
"314",40,"CORT-Cold","L. guichenoti",0.702311564693202,0.0675904448329156
"315",40,"CORT-Hot","L. delicata",0.717591323468636,0.044761278895022
"316",40,"CORT-Hot","L. guichenoti",0.789454707358987,0.0564982609784198
"317",40,"Control-Cold","L. delicata",0.812022826005209,0.0359465082714055
"318",40,"Control-Cold","L. guichenoti",0.786066724384065,0.0696957217933324
"319",40,"Control-Hot","L. delicata",0.679021710804197,0.0484511472415816
"320",40,"Control-Hot","L. guichenoti",0.831605044936743,0.0496156526565417
